parent,state_code,state,category,term,state_percentage,state_percentage_label,state_term_percentage_label,state_term_percentage
origin,All,All,Goods,clothing vouchers,0.0479,4.79%,1.64%,0.0164
origin,All,All,Housing,maintenance & repairs,0.2122,21.22%,3.55%,0.0355
origin,All,All,Housing,help pay for utilities,0.2122,21.22%,17.29%,0.1729
origin,All,All,Housing,temporary shelter,0.2122,21.22%,11.18%,0.1118
origin,All,All,Housing,help pay for housing,0.2122,21.22%,25.5%,0.255
origin,All,All,Housing,short-term housing,0.2122,21.22%,2.78%,0.0278
origin,All,All,Housing,public housing,0.2122,21.22%,1.01%,0.0101
origin,All,All,Housing,help pay for internet or phone,0.2122,21.22%,3.39%,0.0339
origin,All,All,Housing,housing,0.2122,21.22%,2.46%,0.0246
origin,All,All,Housing,long-term housing,0.2122,21.22%,2.77%,0.0277
origin,All,All,Housing,sober living,0.2122,21.22%,1.26%,0.0126
origin,All,All,Housing,housing vouchers,0.2122,21.22%,4.75%,0.0475
origin,All,All,Housing,help find housing,0.2122,21.22%,10.38%,0.1038
origin,All,All,Housing,residential housing,0.2122,21.22%,2.39%,0.0239
origin,All,All,Health,addiction & recovery,0.0797,7.97%,1.68%,0.0168
origin,All,All,Health,community support services,0.0797,7.97%,4.47%,0.0447
origin,All,All,Health,help pay for healthcare,0.0797,7.97%,8.26%,0.0826
origin,All,All,Health,medical supplies,0.0797,7.97%,5.08%,0.0508
origin,All,All,Health,health education,0.0797,7.97%,3.48%,0.0348
origin,All,All,Health,counseling,0.0797,7.97%,2.3%,0.023
origin,All,All,Health,end-of-life care,0.0797,7.97%,2.13%,0.0213
origin,All,All,Health,medical care,0.0797,7.97%,5.6%,0.056
origin,All,All,Health,disability benefits,0.0797,7.97%,3.4%,0.034
origin,All,All,Health,in-home support,0.0797,7.97%,3.24%,0.0324
origin,All,All,Health,exercise & fitness,0.0797,7.97%,1.4%,0.014
origin,All,All,Health,health,0.0797,7.97%,1.79%,0.0179
origin,All,All,Health,primary care,0.0797,7.97%,1.11%,0.0111
origin,All,All,Health,individual counseling,0.0797,7.97%,1.97%,0.0197
origin,All,All,Health,parenting education,0.0797,7.97%,1.54%,0.0154
origin,All,All,Health,outpatient treatment,0.0797,7.97%,1.59%,0.0159
origin,All,All,Health,mental health care,0.0797,7.97%,5.11%,0.0511
origin,All,All,Health,dental care,0.0797,7.97%,6.84%,0.0684
origin,All,All,Health,prescription assistance,0.0797,7.97%,4.35%,0.0435
origin,All,All,Health,vision care,0.0797,7.97%,2.55%,0.0255
origin,All,All,Health,residential treatment,0.0797,7.97%,1.3%,0.013
origin,All,All,Health,health insurance,0.0797,7.97%,2.16%,0.0216
origin,All,All,Money,financial assistance,0.0746,7.46%,44.92%,0.4492
origin,All,All,Money,financial aid & loans,0.0746,7.46%,6.41%,0.0641
origin,All,All,Money,money,0.0746,7.46%,1.54%,0.0154
origin,All,All,Money,tax preparation,0.0746,7.46%,1.55%,0.0155
origin,All,All,Money,emergency payments,0.0746,7.46%,4.34%,0.0434
origin,All,All,Money,financial education,0.0746,7.46%,1.8%,0.018
origin,All,All,Money,help pay for childcare,0.0746,7.46%,3.18%,0.0318
origin,All,All,Money,help pay for school,0.0746,7.46%,2.92%,0.0292
origin,All,All,Money,government benefits,0.0746,7.46%,4.19%,0.0419
origin,All,All,Money,help pay for car,0.0746,7.46%,11.63%,0.1163
origin,All,All,Money,personal loans,0.0746,7.46%,4.78%,0.0478
origin,All,All,Money,understand government programs,0.0746,7.46%,2.62%,0.0262
origin,All,All,Money,help pay for work expenses,0.0746,7.46%,1.34%,0.0134
origin,All,All,Money,unemployment benefits,0.0746,7.46%,1.16%,0.0116
"",AK,Alaska,origin,origin,0,"","",0
origin,AK,Alaska,Money,help pay for school,0.1154,11.54%,7.1%,0.071
origin,AK,Alaska,Money,help pay for childcare,0.1154,11.54%,1.6%,0.016
origin,AK,Alaska,Money,understand government programs,0.1154,11.54%,1.08%,0.0108
origin,AK,Alaska,Money,tax preparation,0.1154,11.54%,1.24%,0.0124
origin,AK,Alaska,Money,financial aid & loans,0.1154,11.54%,2.62%,0.0262
origin,AK,Alaska,Money,financial assistance,0.1154,11.54%,57.99%,0.5799
origin,AK,Alaska,Money,insurance,0.1154,11.54%,1.76%,0.0176
origin,AK,Alaska,Money,personal loans,0.1154,11.54%,1.51%,0.0151
origin,AK,Alaska,Money,financial education,0.1154,11.54%,5.54%,0.0554
origin,AK,Alaska,Money,government benefits,0.1154,11.54%,8.36%,0.0836
origin,AK,Alaska,Money,help pay for car,0.1154,11.54%,5.19%,0.0519
origin,AK,Alaska,Money,help pay for work expenses,0.1154,11.54%,1.22%,0.0122
origin,AK,Alaska,Education,screening & exams,0.0522,5.22%,3.36%,0.0336
origin,AK,Alaska,Education,specialized training,0.0522,5.22%,2.13%,0.0213
origin,AK,Alaska,Education,more education,0.0522,5.22%,58.99%,0.5899
origin,AK,Alaska,Education,help find school,0.0522,5.22%,1.91%,0.0191
origin,AK,Alaska,Education,skills & training,0.0522,5.22%,27.03%,0.2703
origin,AK,Alaska,Education,supported employment,0.0522,5.22%,3.15%,0.0315
origin,AK,Alaska,Legal,identification recovery,0.02,2%,2.46%,0.0246
origin,AK,Alaska,Legal,advocacy & legal aid,0.02,2%,63.62%,0.6362
origin,AK,Alaska,Legal,citizenship & immigration,0.02,2%,3.18%,0.0318
origin,AK,Alaska,Legal,workplace rights,0.02,2%,5.2%,0.052
origin,AK,Alaska,Legal,discrimination & civil rights,0.02,2%,1.45%,0.0145
origin,AK,Alaska,Legal,mediation,0.02,2%,4.92%,0.0492
origin,AK,Alaska,Legal,translation & interpretation,0.02,2%,10.39%,0.1039
origin,AK,Alaska,Legal,representation,0.02,2%,7.41%,0.0741
origin,AK,Alaska,Food,government food benefits,0.081,8.1%,5.91%,0.0591
origin,AK,Alaska,Food,meals,0.081,8.1%,5.13%,0.0513
origin,AK,Alaska,Food,emergency food,0.081,8.1%,25.38%,0.2538
origin,AK,Alaska,Food,food delivery,0.081,8.1%,9.09%,0.0909
origin,AK,Alaska,Food,nutrition education,0.081,8.1%,5.62%,0.0562
origin,AK,Alaska,Food,help pay for food,0.081,8.1%,9.88%,0.0988
origin,AK,Alaska,Food,food pantry,0.081,8.1%,37.66%,0.3766
origin,AK,Alaska,Goods,diapers & formula,0.0325,3.25%,6.45%,0.0645
origin,AK,Alaska,Goods,personal safety,0.0325,3.25%,5%,0.05
origin,AK,Alaska,Goods,books,0.0325,3.25%,1.34%,0.0134
origin,AK,Alaska,Goods,home goods,0.0325,3.25%,12.64%,0.1264
origin,AK,Alaska,Goods,furniture,0.0325,3.25%,6.58%,0.0658
origin,AK,Alaska,Goods,supplies for school,0.0325,3.25%,1.19%,0.0119
origin,AK,Alaska,Goods,clothes for work,0.0325,3.25%,2.84%,0.0284
origin,AK,Alaska,Goods,blankets & fans,0.0325,3.25%,1.26%,0.0126
origin,AK,Alaska,Goods,baby supplies,0.0325,3.25%,7.72%,0.0772
origin,AK,Alaska,Goods,personal care items,0.0325,3.25%,1.04%,0.0104
origin,AK,Alaska,Goods,clothing,0.0325,3.25%,22.23%,0.2223
origin,AK,Alaska,Goods,assistive technology,0.0325,3.25%,2.05%,0.0205
origin,AK,Alaska,Goods,toys & gifts,0.0325,3.25%,20.03%,0.2003
origin,AK,Alaska,Goods,clothing vouchers,0.0325,3.25%,5.54%,0.0554
origin,AK,Alaska,Goods,baby clothes,0.0325,3.25%,1.76%,0.0176
origin,AK,Alaska,Housing,housing vouchers,0.091,9.1%,2.7%,0.027
origin,AK,Alaska,Housing,maintenance & repairs,0.091,9.1%,8.08%,0.0808
origin,AK,Alaska,Housing,temporary shelter,0.091,9.1%,10.43%,0.1043
origin,AK,Alaska,Housing,public housing,0.091,9.1%,1.82%,0.0182
origin,AK,Alaska,Housing,sober living,0.091,9.1%,1.26%,0.0126
origin,AK,Alaska,Housing,help pay for utilities,0.091,9.1%,7.45%,0.0745
origin,AK,Alaska,Housing,help pay for housing,0.091,9.1%,30.9%,0.309
origin,AK,Alaska,Housing,residential housing,0.091,9.1%,4.34%,0.0434
origin,AK,Alaska,Housing,help pay for internet or phone,0.091,9.1%,4.44%,0.0444
origin,AK,Alaska,Housing,help find housing,0.091,9.1%,8.6%,0.086
origin,AK,Alaska,Housing,health & safety,0.091,9.1%,1.51%,0.0151
origin,AK,Alaska,Housing,efficiency upgrades,0.091,9.1%,2.16%,0.0216
origin,AK,Alaska,Housing,short-term housing,0.091,9.1%,2.85%,0.0285
origin,AK,Alaska,Housing,long-term housing,0.091,9.1%,4.82%,0.0482
origin,AK,Alaska,Housing,housing advice,0.091,9.1%,2.31%,0.0231
origin,AK,Alaska,Transit,bus passes,0.0821,8.21%,3.34%,0.0334
origin,AK,Alaska,Transit,transportation,0.0821,8.21%,74.58%,0.7458
origin,AK,Alaska,Transit,help pay for gas,0.0821,8.21%,4.87%,0.0487
origin,AK,Alaska,Transit,transportation for healthcare,0.0821,8.21%,5.67%,0.0567
origin,AK,Alaska,Transit,help pay for transit,0.0821,8.21%,10.52%,0.1052
origin,AK,Alaska,Health,medical care,0.1622,16.22%,18.42%,0.1842
origin,AK,Alaska,Health,addiction & recovery,0.1622,16.22%,3.64%,0.0364
origin,AK,Alaska,Health,sexual and reproductive health,0.1622,16.22%,1.99%,0.0199
origin,AK,Alaska,Health,mental health care,0.1622,16.22%,10.99%,0.1099
origin,AK,Alaska,Health,vision care,0.1622,16.22%,1.47%,0.0147
origin,AK,Alaska,Health,dental care,0.1622,16.22%,1.43%,0.0143
origin,AK,Alaska,Health,health education,0.1622,16.22%,12.82%,0.1282
origin,AK,Alaska,Health,community support services,0.1622,16.22%,6.68%,0.0668
origin,AK,Alaska,Health,medical supplies,0.1622,16.22%,6.95%,0.0695
origin,AK,Alaska,Health,end-of-life care,0.1622,16.22%,7.46%,0.0746
origin,AK,Alaska,Health,help pay for healthcare,0.1622,16.22%,16.98%,0.1698
origin,AK,Alaska,Other,other,0.2161,21.61%,72.26%,0.7226
origin,AK,Alaska,Other,assistance,0.2161,21.61%,1.59%,0.0159
origin,AK,Alaska,Other,benelynk,0.2161,21.61%,14.26%,0.1426
origin,AK,Alaska,Care,support groups,0.1414,14.14%,8.56%,0.0856
origin,AK,Alaska,Care,residential care,0.1414,14.14%,1.98%,0.0198
origin,AK,Alaska,Care,support network,0.1414,14.14%,48.27%,0.4827
origin,AK,Alaska,Care,daytime care,0.1414,14.14%,2.74%,0.0274
origin,AK,Alaska,Care,preschool,0.1414,14.14%,1.04%,0.0104
origin,AK,Alaska,Care,physical safety,0.1414,14.14%,3.17%,0.0317
origin,AK,Alaska,Care,burial & funeral help,0.1414,14.14%,2.35%,0.0235
origin,AK,Alaska,Care,navigating the system,0.1414,14.14%,20.03%,0.2003
origin,AK,Alaska,Care,animal welfare,0.1414,14.14%,2.79%,0.0279
origin,AK,Alaska,Care,bereavement,0.1414,14.14%,2.42%,0.0242
origin,AK,Alaska,Work,resume development,0.0062,0.62%,2.35%,0.0235
origin,AK,Alaska,Work,job placement,0.0062,0.62%,27.9%,0.279
origin,AK,Alaska,Work,help find work,0.0062,0.62%,67.41%,0.6741
"",AL,Alabama,origin,origin,0,"","",0
origin,AL,Alabama,Other,other,0.2622,26.22%,79.75%,0.7975
origin,AL,Alabama,Transit,help pay for gas,0.0611,6.11%,9.48%,0.0948
origin,AL,Alabama,Transit,transportation for healthcare,0.0611,6.11%,26.36%,0.2636
origin,AL,Alabama,Transit,bus passes,0.0611,6.11%,3.91%,0.0391
origin,AL,Alabama,Transit,transportation for school,0.0611,6.11%,1.26%,0.0126
origin,AL,Alabama,Transit,help pay for transit,0.0611,6.11%,7.68%,0.0768
origin,AL,Alabama,Transit,transportation,0.0611,6.11%,47.77%,0.4777
origin,AL,Alabama,Education,skills assessment,0.0171,1.71%,1.27%,0.0127
origin,AL,Alabama,Education,help find school,0.0171,1.71%,3.48%,0.0348
origin,AL,Alabama,Education,alternative education,0.0171,1.71%,2.3%,0.023
origin,AL,Alabama,Education,more education,0.0171,1.71%,31.44%,0.3144
origin,AL,Alabama,Education,specialized training,0.0171,1.71%,6.24%,0.0624
origin,AL,Alabama,Education,tutoring,0.0171,1.71%,2.73%,0.0273
origin,AL,Alabama,Education,screening & exams,0.0171,1.71%,2.28%,0.0228
origin,AL,Alabama,Education,ged/high-school equivalency,0.0171,1.71%,4.91%,0.0491
origin,AL,Alabama,Education,basic literacy,0.0171,1.71%,1.58%,0.0158
origin,AL,Alabama,Education,supported employment,0.0171,1.71%,9.3%,0.093
origin,AL,Alabama,Education,special education,0.0171,1.71%,1.99%,0.0199
origin,AL,Alabama,Education,computer class,0.0171,1.71%,3.87%,0.0387
origin,AL,Alabama,Education,english as a second language (esl),0.0171,1.71%,4.53%,0.0453
origin,AL,Alabama,Education,skills & training,0.0171,1.71%,20.34%,0.2034
origin,AL,Alabama,Housing,public housing,0.2333,23.33%,1.27%,0.0127
origin,AL,Alabama,Housing,help pay for utilities,0.2333,23.33%,29.16%,0.2916
origin,AL,Alabama,Housing,residential housing,0.2333,23.33%,2.81%,0.0281
origin,AL,Alabama,Housing,help pay for housing,0.2333,23.33%,21.6%,0.216
origin,AL,Alabama,Housing,help find housing,0.2333,23.33%,7.06%,0.0706
origin,AL,Alabama,Housing,short-term housing,0.2333,23.33%,3.57%,0.0357
origin,AL,Alabama,Housing,housing,0.2333,23.33%,1.76%,0.0176
origin,AL,Alabama,Housing,help pay for internet or phone,0.2333,23.33%,3.48%,0.0348
origin,AL,Alabama,Housing,housing vouchers,0.2333,23.33%,2.99%,0.0299
origin,AL,Alabama,Housing,efficiency upgrades,0.2333,23.33%,1.28%,0.0128
origin,AL,Alabama,Housing,maintenance & repairs,0.2333,23.33%,5.68%,0.0568
origin,AL,Alabama,Housing,long-term housing,0.2333,23.33%,2.65%,0.0265
origin,AL,Alabama,Housing,temporary shelter,0.2333,23.33%,5.64%,0.0564
origin,AL,Alabama,Housing,health & safety,0.2333,23.33%,1.26%,0.0126
origin,AL,Alabama,Legal,citizenship & immigration,0.0093,0.93%,9.38%,0.0938
origin,AL,Alabama,Legal,legal aid,0.0093,0.93%,1.02%,0.0102
origin,AL,Alabama,Legal,advocacy & legal aid,0.0093,0.93%,44.99%,0.4499
origin,AL,Alabama,Legal,workplace rights,0.0093,0.93%,3.83%,0.0383
origin,AL,Alabama,Legal,identification recovery,0.0093,0.93%,3.72%,0.0372
origin,AL,Alabama,Legal,mediation,0.0093,0.93%,4.08%,0.0408
origin,AL,Alabama,Legal,translation & interpretation,0.0093,0.93%,6.19%,0.0619
origin,AL,Alabama,Legal,discrimination & civil rights,0.0093,0.93%,3.89%,0.0389
origin,AL,Alabama,Legal,legal,0.0093,0.93%,1.97%,0.0197
origin,AL,Alabama,Legal,representation,0.0093,0.93%,17.89%,0.1789
origin,AL,Alabama,Food,food pantry,0.144,14.4%,58.24%,0.5824
origin,AL,Alabama,Food,government food benefits,0.144,14.4%,4.78%,0.0478
origin,AL,Alabama,Food,food delivery,0.144,14.4%,11.2%,0.112
origin,AL,Alabama,Food,help pay for food,0.144,14.4%,7.77%,0.0777
origin,AL,Alabama,Food,emergency food,0.144,14.4%,6.22%,0.0622
origin,AL,Alabama,Food,nutrition education,0.144,14.4%,1.66%,0.0166
origin,AL,Alabama,Food,food,0.144,14.4%,2.85%,0.0285
origin,AL,Alabama,Food,meals,0.144,14.4%,6.11%,0.0611
origin,AL,Alabama,Goods,clothing,0.0346,3.46%,25.71%,0.2571
origin,AL,Alabama,Goods,furniture,0.0346,3.46%,9.12%,0.0912
origin,AL,Alabama,Goods,personal safety,0.0346,3.46%,2.83%,0.0283
origin,AL,Alabama,Goods,diapers & formula,0.0346,3.46%,7%,0.07
origin,AL,Alabama,Goods,books,0.0346,3.46%,1.08%,0.0108
origin,AL,Alabama,Goods,toys & gifts,0.0346,3.46%,9.02%,0.0902
origin,AL,Alabama,Goods,clothes for school,0.0346,3.46%,1.28%,0.0128
origin,AL,Alabama,Goods,efficient appliances,0.0346,3.46%,2.49%,0.0249
origin,AL,Alabama,Goods,baby supplies,0.0346,3.46%,7%,0.07
origin,AL,Alabama,Goods,personal care items,0.0346,3.46%,4.26%,0.0426
origin,AL,Alabama,Goods,clothes for work,0.0346,3.46%,1.61%,0.0161
origin,AL,Alabama,Goods,baby clothes,0.0346,3.46%,2.34%,0.0234
origin,AL,Alabama,Goods,blankets & fans,0.0346,3.46%,1.35%,0.0135
origin,AL,Alabama,Goods,assistive technology,0.0346,3.46%,4.96%,0.0496
origin,AL,Alabama,Goods,supplies for school,0.0346,3.46%,2.02%,0.0202
origin,AL,Alabama,Goods,home goods,0.0346,3.46%,7.15%,0.0715
origin,AL,Alabama,Goods,support & service animals,0.0346,3.46%,1.2%,0.012
origin,AL,Alabama,Goods,clothing vouchers,0.0346,3.46%,1.45%,0.0145
origin,AL,Alabama,Care,physical safety,0.0554,5.54%,1.79%,0.0179
origin,AL,Alabama,Care,support groups,0.0554,5.54%,18.63%,0.1863
origin,AL,Alabama,Care,day camp,0.0554,5.54%,1.08%,0.0108
origin,AL,Alabama,Care,navigating the system,0.0554,5.54%,9.2%,0.092
origin,AL,Alabama,Care,residential care,0.0554,5.54%,1.69%,0.0169
origin,AL,Alabama,Care,head start,0.0554,5.54%,2.33%,0.0233
origin,AL,Alabama,Care,daytime care,0.0554,5.54%,2.06%,0.0206
origin,AL,Alabama,Care,preschool,0.0554,5.54%,1.23%,0.0123
origin,AL,Alabama,Care,bereavement,0.0554,5.54%,2.22%,0.0222
origin,AL,Alabama,Care,recreation,0.0554,5.54%,1.25%,0.0125
origin,AL,Alabama,Care,childcare,0.0554,5.54%,1.68%,0.0168
origin,AL,Alabama,Care,burial & funeral help,0.0554,5.54%,5.73%,0.0573
origin,AL,Alabama,Care,support network,0.0554,5.54%,21.49%,0.2149
origin,AL,Alabama,Care,elder care,0.0554,5.54%,3.29%,0.0329
origin,AL,Alabama,Care,adult daycare,0.0554,5.54%,1.01%,0.0101
origin,AL,Alabama,Care,disaster response,0.0554,5.54%,1.05%,0.0105
origin,AL,Alabama,Care,case management,0.0554,5.54%,1.08%,0.0108
origin,AL,Alabama,Care,relief for caregivers,0.0554,5.54%,2.22%,0.0222
origin,AL,Alabama,Care,animal welfare,0.0554,5.54%,5.95%,0.0595
origin,AL,Alabama,Care,adoption & foster care,0.0554,5.54%,1.12%,0.0112
origin,AL,Alabama,Health,counseling,0.0883,8.83%,1.58%,0.0158
origin,AL,Alabama,Health,individual counseling,0.0883,8.83%,1.03%,0.0103
origin,AL,Alabama,Health,end-of-life care,0.0883,8.83%,2.46%,0.0246
origin,AL,Alabama,Health,in-home support,0.0883,8.83%,3.72%,0.0372
origin,AL,Alabama,Health,addiction & recovery,0.0883,8.83%,1.72%,0.0172
origin,AL,Alabama,Health,medical care,0.0883,8.83%,7.05%,0.0705
origin,AL,Alabama,Health,community support services,0.0883,8.83%,3.1%,0.031
origin,AL,Alabama,Health,health insurance,0.0883,8.83%,2.41%,0.0241
origin,AL,Alabama,Health,vision care,0.0883,8.83%,2.31%,0.0231
origin,AL,Alabama,Health,medical supplies,0.0883,8.83%,6.51%,0.0651
origin,AL,Alabama,Health,disability benefits,0.0883,8.83%,3.85%,0.0385
origin,AL,Alabama,Health,exercise & fitness,0.0883,8.83%,1.11%,0.0111
origin,AL,Alabama,Health,dental care,0.0883,8.83%,5.7%,0.057
origin,AL,Alabama,Health,health education,0.0883,8.83%,4.66%,0.0466
origin,AL,Alabama,Health,help pay for healthcare,0.0883,8.83%,13.74%,0.1374
origin,AL,Alabama,Health,prescription assistance,0.0883,8.83%,6.34%,0.0634
origin,AL,Alabama,Health,mental health care,0.0883,8.83%,5.05%,0.0505
origin,AL,Alabama,Money,personal loans,0.0888,8.88%,3.9%,0.039
origin,AL,Alabama,Money,financial,0.0888,8.88%,1.12%,0.0112
origin,AL,Alabama,Money,financial education,0.0888,8.88%,1.58%,0.0158
origin,AL,Alabama,Money,help pay for school,0.0888,8.88%,2.56%,0.0256
origin,AL,Alabama,Money,understand government programs,0.0888,8.88%,2.39%,0.0239
origin,AL,Alabama,Money,money,0.0888,8.88%,1.68%,0.0168
origin,AL,Alabama,Money,emergency payments,0.0888,8.88%,4.1%,0.041
origin,AL,Alabama,Money,help pay for childcare,0.0888,8.88%,2.55%,0.0255
origin,AL,Alabama,Money,financial aid & loans,0.0888,8.88%,5.49%,0.0549
origin,AL,Alabama,Money,government benefits,0.0888,8.88%,5%,0.05
origin,AL,Alabama,Money,financial assistance,0.0888,8.88%,52.29%,0.5229
origin,AL,Alabama,Money,help pay for car,0.0888,8.88%,8.9%,0.089
origin,AL,Alabama,Work,job placement,0.0059,0.59%,42.65%,0.4265
origin,AL,Alabama,Work,work,0.0059,0.59%,4.1%,0.041
origin,AL,Alabama,Work,interview training,0.0059,0.59%,1.84%,0.0184
origin,AL,Alabama,Work,help find work,0.0059,0.59%,44.6%,0.446
origin,AL,Alabama,Work,resume development,0.0059,0.59%,3.4%,0.034
"",AR,Arkansas,origin,origin,0,"","",0
origin,AR,Arkansas,Housing,maintenance & repairs,0.2173,21.73%,4.62%,0.0462
