parent,state_code,state,category,term,state_category_percentage,state_category_percentage_label,state_term_percentage,state_term_percentage_label
origin,AL,Alabama,Transit,79 other terms,0.0814,8.14%,0.0868,8.68%
origin,AL,Alabama,Transit,help pay for gas,0.0814,8.14%,0.0952,9.5200000000000014%
origin,AL,Alabama,Transit,help pay for transit,0.0814,8.14%,0.0769,7.6899999999999995%
origin,AL,Alabama,Transit,transportation,0.0814,8.14%,0.4779,47.79%
origin,AL,Alabama,Transit,transportation for healthcare,0.0814,8.14%,0.2632,26.32%
origin,AL,Alabama,Work,23 other terms,0.0078,0.77999999999999992%,0.1282,12.82%
origin,AL,Alabama,Work,help find work,0.0078,0.77999999999999992%,0.4453,44.529999999999994%
origin,AL,Alabama,Work,job placement,0.0078,0.77999999999999992%,0.4266,42.66%
"",AL,Alabama,origin,origin,0,"",0,""
origin,AR,Arkansas,Care,174 other terms,0.0725,7.2499999999999991%,0.4283,42.83%
origin,AR,Arkansas,Care,animal welfare,0.0725,7.2499999999999991%,0.0594,5.94%
origin,AR,Arkansas,Care,navigating the system,0.0725,7.2499999999999991%,0.0977,9.77%
origin,AR,Arkansas,Care,support groups,0.0725,7.2499999999999991%,0.1934,19.34%
origin,AR,Arkansas,Care,support network,0.0725,7.2499999999999991%,0.2211,22.11%
origin,AR,Arkansas,Education,40 other terms,0.0239,2.39%,0.2176,21.759999999999998%
origin,AR,Arkansas,Education,english as a second language (esl),0.0239,2.39%,0.0669,6.69%
origin,AR,Arkansas,Education,ged/high-school equivalency,0.0239,2.39%,0.0508,5.08%
origin,AR,Arkansas,Education,more education,0.0239,2.39%,0.3192,31.919999999999998%
origin,AR,Arkansas,Education,skills & training,0.0239,2.39%,0.1955,19.55%
origin,AR,Arkansas,Education,specialized training,0.0239,2.39%,0.0641,6.41%
origin,AR,Arkansas,Education,supported employment,0.0239,2.39%,0.086,8.6%
origin,AR,Arkansas,Food,70 other terms,0.2113,21.13%,0.087,8.7%
origin,AR,Arkansas,Food,emergency food,0.2113,21.13%,0.06,6%
origin,AR,Arkansas,Food,food delivery,0.2113,21.13%,0.0987,9.87%
origin,AR,Arkansas,Food,food pantry,0.2113,21.13%,0.632,63.2%
origin,AR,Arkansas,Food,help pay for food,0.2113,21.13%,0.0632,6.32%
origin,AR,Arkansas,Food,meals,0.2113,21.13%,0.059,5.8999999999999995%
origin,AR,Arkansas,Goods,178 other terms,0.0529,5.29%,0.3145,31.45%
origin,AR,Arkansas,Goods,baby supplies,0.0529,5.29%,0.0585,5.8500000000000005%
origin,AR,Arkansas,Goods,clothing,0.0529,5.29%,0.2475,24.75%
origin,AR,Arkansas,Goods,diapers & formula,0.0529,5.29%,0.0995,9.9500000000000011%
origin,AR,Arkansas,Goods,furniture,0.0529,5.29%,0.0692,6.92%
origin,AR,Arkansas,Goods,home goods,0.0529,5.29%,0.0533,5.33%
origin,AR,Arkansas,Goods,toys & gifts,0.0529,5.29%,0.1576,15.76%
origin,AR,Arkansas,Health,526 other terms,0.1115,11.15%,0.5728,57.28%
origin,AR,Arkansas,Health,dental care,0.1115,11.15%,0.071,7.1%
origin,AR,Arkansas,Health,help pay for healthcare,0.1115,11.15%,0.1098,10.979999999999999%
origin,AR,Arkansas,Health,medical care,0.1115,11.15%,0.0727,7.2700000000000005%
origin,AR,Arkansas,Health,medical supplies,0.1115,11.15%,0.0641,6.41%
origin,AR,Arkansas,Health,mental health care,0.1115,11.15%,0.0583,5.83%
origin,AR,Arkansas,Health,prescription assistance,0.1115,11.15%,0.0514,5.1400000000000006%
origin,AR,Arkansas,Housing,389 other terms,0.3018,30.18%,0.3642,36.42%
origin,AR,Arkansas,Housing,help find housing,0.3018,30.18%,0.0672,6.72%
origin,AR,Arkansas,Housing,help pay for housing,0.3018,30.18%,0.2303,23.03%
origin,AR,Arkansas,Housing,help pay for utilities,0.3018,30.18%,0.2694,26.939999999999998%
origin,AR,Arkansas,Housing,temporary shelter,0.3018,30.18%,0.069,6.9%
origin,AR,Arkansas,Legal,51 other terms,0.0142,1.4200000000000002%,0.2194,21.94%
origin,AR,Arkansas,Legal,advocacy & legal aid,0.0142,1.4200000000000002%,0.4357,43.57%
origin,AR,Arkansas,Legal,citizenship & immigration,0.0142,1.4200000000000002%,0.0922,9.22%
origin,AR,Arkansas,Legal,representation,0.0142,1.4200000000000002%,0.1991,19.91%
origin,AR,Arkansas,Legal,translation & interpretation,0.0142,1.4200000000000002%,0.0536,5.36%
origin,AR,Arkansas,Money,113 other terms,0.1173,11.73%,0.2747,27.47%
origin,AR,Arkansas,Money,emergency payments,0.1173,11.73%,0.0669,6.69%
origin,AR,Arkansas,Money,financial aid & loans,0.1173,11.73%,0.0508,5.08%
origin,AR,Arkansas,Money,financial assistance,0.1173,11.73%,0.5257,52.569999999999993%
origin,AR,Arkansas,Money,help pay for car,0.1173,11.73%,0.0819,8.19%
origin,AR,Arkansas,Other,2141 other terms,0.0169,1.69%,1,100%
origin,AR,Arkansas,Transit,72 other terms,0.0693,6.93%,0.0355,3.55%
origin,AR,Arkansas,Transit,bus passes,0.0693,6.93%,0.0522,5.2200000000000006%
origin,AR,Arkansas,Transit,help pay for gas,0.0693,6.93%,0.1168,11.68%
origin,AR,Arkansas,Transit,help pay for transit,0.0693,6.93%,0.1,10%
origin,AR,Arkansas,Transit,transportation,0.0693,6.93%,0.4541,45.410000000000004%
origin,AR,Arkansas,Transit,transportation for healthcare,0.0693,6.93%,0.2415,24.15%
origin,AR,Arkansas,Work,19 other terms,0.0085,0.85000000000000009%,0.0895,8.95%
origin,AR,Arkansas,Work,help find work,0.0085,0.85000000000000009%,0.4259,42.59%
origin,AR,Arkansas,Work,job placement,0.0085,0.85000000000000009%,0.4847,48.47%
"",AR,Arkansas,origin,origin,0,"",0,""
origin,AS,American Samoa,Education,ged/high-school equivalency,0.0508,5.08%,0.3333,33.33%
origin,AS,American Samoa,Education,specialized training,0.0508,5.08%,0.3333,33.33%
origin,AS,American Samoa,Education,supported employment,0.0508,5.08%,0.3333,33.33%
origin,AS,American Samoa,Food,emergency food,0.1356,13.56%,0.125,12.5%
origin,AS,American Samoa,Food,help pay for food,0.1356,13.56%,0.75,75%
origin,AS,American Samoa,Food,meals,0.1356,13.56%,0.125,12.5%
origin,AS,American Samoa,Goods,diapers & formula,0.0508,5.08%,0.3333,33.33%
origin,AS,American Samoa,Goods,home goods,0.0508,5.08%,0.6667,66.67%
origin,AS,American Samoa,Health,dental care,0.0678,6.78%,0.25,25%
origin,AS,American Samoa,Health,help find healthcare,0.0678,6.78%,0.25,25%
origin,AS,American Samoa,Health,prescription assistance,0.0678,6.78%,0.25,25%
origin,AS,American Samoa,Health,vision care,0.0678,6.78%,0.25,25%
origin,AS,American Samoa,Housing,2 other terms,0.4068,40.68%,0.0833,8.33%
origin,AS,American Samoa,Housing,help find housing,0.4068,40.68%,0.0833,8.33%
origin,AS,American Samoa,Housing,help pay for housing,0.4068,40.68%,0.2083,20.830000000000002%
origin,AS,American Samoa,Housing,help pay for utilities,0.4068,40.68%,0.1667,16.669999999999998%
origin,AS,American Samoa,Housing,maintenance & repairs,0.4068,40.68%,0.3333,33.33%
origin,AS,American Samoa,Housing,residential housing,0.4068,40.68%,0.125,12.5%
origin,AS,American Samoa,Money,business loans,0.2034,20.34%,0.1667,16.669999999999998%
origin,AS,American Samoa,Money,financial,0.2034,20.34%,0.0833,8.33%
origin,AS,American Samoa,Money,financial aid & loans,0.2034,20.34%,0.25,25%
origin,AS,American Samoa,Money,financial assistance,0.2034,20.34%,0.1667,16.669999999999998%
origin,AS,American Samoa,Money,help pay for car,0.2034,20.34%,0.1667,16.669999999999998%
origin,AS,American Samoa,Money,tax preparation,0.2034,20.34%,0.0833,8.33%
origin,AS,American Samoa,Money,unemployment benefits,0.2034,20.34%,0.0833,8.33%
origin,AS,American Samoa,Transit,transportation,0.0169,1.69%,1,100%
origin,AS,American Samoa,Work,help find work,0.0678,6.78%,1,100%
"",AS,American Samoa,origin,origin,0,"",0,""
origin,AZ,Arizona,Care,224 other terms,0.1385,13.850000000000001%,0.3044,30.44%
origin,AZ,Arizona,Care,animal welfare,0.1385,13.850000000000001%,0.0608,6.08%
origin,AZ,Arizona,Care,care,0.1385,13.850000000000001%,0.4277,42.77%
origin,AZ,Arizona,Care,support groups,0.1385,13.850000000000001%,0.1396,13.96%
origin,AZ,Arizona,Care,support network,0.1385,13.850000000000001%,0.0674,6.74%
origin,AZ,Arizona,Education,54 other terms,0.0257,2.5700000000000003%,0.1809,18.09%
origin,AZ,Arizona,Education,computer class,0.0257,2.5700000000000003%,0.0618,6.18%
origin,AZ,Arizona,Education,english as a second language (esl),0.0257,2.5700000000000003%,0.1913,19.13%
origin,AZ,Arizona,Education,ged/high-school equivalency,0.0257,2.5700000000000003%,0.0552,5.52%
origin,AZ,Arizona,Education,more education,0.0257,2.5700000000000003%,0.1719,17.19%
origin,AZ,Arizona,Education,skills & training,0.0257,2.5700000000000003%,0.1538,15.379999999999999%
origin,AZ,Arizona,Education,specialized training,0.0257,2.5700000000000003%,0.0948,9.48%
origin,AZ,Arizona,Education,supported employment,0.0257,2.5700000000000003%,0.0904,9.04%
origin,AZ,Arizona,Food,88 other terms,0.1542,15.42%,0.1165,11.65%
origin,AZ,Arizona,Food,emergency food,0.1542,15.42%,0.0792,7.9200000000000008%
origin,AZ,Arizona,Food,food delivery,0.1542,15.42%,0.1393,13.930000000000001%
origin,AZ,Arizona,Food,food pantry,0.1542,15.42%,0.5376,53.76%
origin,AZ,Arizona,Food,help pay for food,0.1542,15.42%,0.063,6.3%
origin,AZ,Arizona,Food,meals,0.1542,15.42%,0.0644,6.4399999999999995%
origin,AZ,Arizona,Goods,227 other terms,0.0648,6.4799999999999995%,0.3032,30.320000000000004%
origin,AZ,Arizona,Goods,baby supplies,0.0648,6.4799999999999995%,0.0744,7.4399999999999995%
origin,AZ,Arizona,Goods,clothing,0.0648,6.4799999999999995%,0.2332,23.32%
origin,AZ,Arizona,Goods,diapers & formula,0.0648,6.4799999999999995%,0.0844,8.44%
origin,AZ,Arizona,Goods,furniture,0.0648,6.4799999999999995%,0.1206,12.06%
origin,AZ,Arizona,Goods,personal care items,0.0648,6.4799999999999995%,0.0632,6.32%
origin,AZ,Arizona,Goods,toys & gifts,0.0648,6.4799999999999995%,0.121,12.1%
origin,AZ,Arizona,Health,708 other terms,0.1061,10.61%,0.6686,66.86%
origin,AZ,Arizona,Health,dental care,0.1061,10.61%,0.0774,7.7399999999999993%
origin,AZ,Arizona,Health,help pay for healthcare,0.1061,10.61%,0.0927,9.27%
origin,AZ,Arizona,Health,medical care,0.1061,10.61%,0.0521,5.21%
origin,AZ,Arizona,Health,medical supplies,0.1061,10.61%,0.0565,5.65%
origin,AZ,Arizona,Health,vision care,0.1061,10.61%,0.0528,5.28%
origin,AZ,Arizona,Housing,448 other terms,0.2818,28.18%,0.3389,33.89%
origin,AZ,Arizona,Housing,help find housing,0.2818,28.18%,0.0877,8.77%
origin,AZ,Arizona,Housing,help pay for housing,0.2818,28.18%,0.2515,25.15%
origin,AZ,Arizona,Housing,help pay for utilities,0.2818,28.18%,0.1558,15.58%
origin,AZ,Arizona,Housing,housing vouchers,0.2818,28.18%,0.0641,6.41%
origin,AZ,Arizona,Housing,temporary shelter,0.2818,28.18%,0.102,10.2%
origin,AZ,Arizona,Legal,72 other terms,0.0157,1.5699999999999998%,0.2197,21.97%
origin,AZ,Arizona,Legal,advocacy & legal aid,0.0157,1.5699999999999998%,0.3343,33.43%
origin,AZ,Arizona,Legal,citizenship & immigration,0.0157,1.5699999999999998%,0.1477,14.77%
origin,AZ,Arizona,Legal,discrimination & civil rights,0.0157,1.5699999999999998%,0.0511,5.11%
origin,AZ,Arizona,Legal,identification recovery,0.0157,1.5699999999999998%,0.0735,7.35%
origin,AZ,Arizona,Legal,representation,0.0157,1.5699999999999998%,0.1737,17.37%
origin,AZ,Arizona,Money,147 other terms,0.1034,10.34%,0.3452,34.52%
origin,AZ,Arizona,Money,financial aid & loans,0.1034,10.34%,0.0651,6.5100000000000007%
origin,AZ,Arizona,Money,financial assistance,0.1034,10.34%,0.4303,43.03%
origin,AZ,Arizona,Money,help pay for car,0.1034,10.34%,0.1594,15.939999999999998%
origin,AZ,Arizona,Other,4157 other terms,0.0232,2.32%,0.9476,94.76%
origin,AZ,Arizona,Other,pregnant,0.0232,2.32%,0.0524,5.24%
origin,AZ,Arizona,Transit,93 other terms,0.0756,7.5600000000000005%,0.0647,6.47%
origin,AZ,Arizona,Transit,bus passes,0.0756,7.5600000000000005%,0.1039,10.39%
origin,AZ,Arizona,Transit,help pay for gas,0.0756,7.5600000000000005%,0.1218,12.18%
origin,AZ,Arizona,Transit,help pay for transit,0.0756,7.5600000000000005%,0.0834,8.34%
origin,AZ,Arizona,Transit,transportation,0.0756,7.5600000000000005%,0.3923,39.23%
origin,AZ,Arizona,Transit,transportation for healthcare,0.0756,7.5600000000000005%,0.2338,23.380000000000003%
origin,AZ,Arizona,Work,32 other terms,0.0111,1.11%,0.1206,12.06%
origin,AZ,Arizona,Work,help find work,0.0111,1.11%,0.3502,35.02%
origin,AZ,Arizona,Work,job placement,0.0111,1.11%,0.5291,52.910000000000004%
"",AZ,Arizona,origin,origin,0,"",0,""
origin,CA,California,Care,350 other terms,0.0795,7.95%,0.488,48.8%
origin,CA,California,Care,animal welfare,0.0795,7.95%,0.1508,15.079999999999998%
origin,CA,California,Care,burial & funeral help,0.0795,7.95%,0.0626,6.2600000000000007%
origin,CA,California,Care,care,0.0795,7.95%,0.0573,5.7299999999999995%
origin,CA,California,Care,support groups,0.0795,7.95%,0.1729,17.29%
origin,CA,California,Care,support network,0.0795,7.95%,0.0685,6.8500000000000005%
origin,CA,California,Education,99 other terms,0.0329,3.29%,0.2744,27.439999999999998%
origin,CA,California,Education,computer class,0.0329,3.29%,0.0584,5.84%
origin,CA,California,Education,english as a second language (esl),0.0329,3.29%,0.2312,23.119999999999997%
origin,CA,California,Education,more education,0.0329,3.29%,0.0901,9.01%
origin,CA,California,Education,skills & training,0.0329,3.29%,0.12,12%
origin,CA,California,Education,specialized training,0.0329,3.29%,0.1204,12.04%
origin,CA,California,Education,supported employment,0.0329,3.29%,0.1056,10.56%
origin,CA,California,Food,146 other terms,0.1972,19.72%,0.109,10.9%
origin,CA,California,Food,emergency food,0.1972,19.72%,0.0697,6.97%
origin,CA,California,Food,food delivery,0.1972,19.72%,0.0961,9.6100000000000012%
origin,CA,California,Food,food pantry,0.1972,19.72%,0.6014,60.140000000000008%
origin,CA,California,Food,help pay for food,0.1972,19.72%,0.0555,5.55%
origin,CA,California,Food,meals,0.1972,19.72%,0.0683,6.83%
origin,CA,California,Goods,345 other terms,0.0673,6.7299999999999995%,0.3435,34.35%
origin,CA,California,Goods,baby supplies,0.0673,6.7299999999999995%,0.0651,6.5100000000000007%
origin,CA,California,Goods,clothing,0.0673,6.7299999999999995%,0.2208,22.08%
origin,CA,California,Goods,diapers & formula,0.0673,6.7299999999999995%,0.1534,15.340000000000002%
origin,CA,California,Goods,furniture,0.0673,6.7299999999999995%,0.1054,10.54%
origin,CA,California,Goods,toys & gifts,0.0673,6.7299999999999995%,0.1118,11.18%
origin,CA,California,Health,1074 other terms,0.0999,9.99%,0.8812,88.12%
origin,CA,California,Health,dental care,0.0999,9.99%,0.0588,5.88%
origin,CA,California,Health,mental health care,0.0999,9.99%,0.06,6%
origin,CA,California,Housing,706 other terms,0.3008,30.080000000000002%,0.3059,30.59%
origin,CA,California,Housing,help find housing,0.3008,30.080000000000002%,0.1313,13.13%
origin,CA,California,Housing,help pay for housing,0.3008,30.080000000000002%,0.2442,24.42%
origin,CA,California,Housing,help pay for utilities,0.3008,30.080000000000002%,0.1164,11.64%
